time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2010-01-01T02:33:42.820Z,32.4538333,-115.2028333,5.995,3.24,ml,28,207,0.3387,0.48,ci,ci14566876,2016-03-10T14:35:13.872Z,"11km N of Delta, B.C., MX",earthquake,1.53,31.61,0.161,253,reviewed,ci,ci
2010-01-01T04:13:44.710Z,42.616,-111.058,5,3,ml,33,54.8,,0.9,us,usp000h5jw,2015-03-24T01:03:42.424Z,"10 km SW of Fairview, Wyoming",earthquake,,,,,reviewed,us,us
2010-01-02T16:36:45.910Z,45.137,-120.9555,14.468,3.6,md,42,78,,0.34,uw,uw10782693,2017-04-02T00:31:17.777Z,"10 km ESE of Maupin, Oregon",earthquake,0.546,1.92,0.07,15,reviewed,uw,uw
2010-01-04T00:02:17.990Z,32.1915,-116.655,5.631,3.81,ml,18,264,0.4758,0.16,ci,ci14568124,2016-03-10T19:29:20.970Z,"25km E of Primo Tapia, B.C., MX",earthquake,0.79,31.61,0.159,360,reviewed,ci,ci
2010-01-04T14:24:54.440Z,40.2773333,-123.8685,29.763,4.12,mw,20,86,0.1432,0.07,nc,nc71330090,2020-05-02T02:12:16.094Z,"1 km N of Myers Flat, California",earthquake,0.31,0.58,,5,reviewed,nc,nc
2010-01-04T16:24:02.920Z,37.5996667,-113.0551667,9.08,4.1,ml,22,51,0.06596,0.26,uu,uu50393545,2020-05-06T09:23:00.297Z,"8 km S of Cedar City, Utah",earthquake,0.54,1.24,,9,reviewed,uu,uu
2010-01-04T20:07:59.930Z,35.7116667,-117.4821667,8.636,3.39,ml,48,64,0.1121,0.17,ci,ci14568516,2016-03-10T17:46:30.714Z,"9km SW of Searles Valley, CA",earthquake,0.24,0.99,0.155,356,reviewed,ci,ci
2010-01-04T20:11:25.790Z,35.7115,-117.485,9.196,3.12,ml,47,48,0.1118,0.21,ci,ci14568532,2016-03-10T17:46:32.645Z,"10km SW of Searles Valley, CA",earthquake,0.29,0.97,0.166,314,reviewed,ci,ci
2010-01-05T04:55:24.580Z,37.5906667,-113.0591667,14.57,3.28,ml,14,52,0.1566,0.22,uu,uu50393565,2019-06-28T18:48:33.691Z,"9 km S of Cedar City, Utah",earthquake,0.58,0.93,,7,reviewed,uu,uu
2010-01-07T05:49:21.030Z,30.299,-113.739,10,4.1,mb,51,177.2,,1.34,us,usp000h5tj,2014-11-07T01:40:25.605Z,"109 km WNW of La Libertad, Mexico",earthquake,,,,8,reviewed,us,us
2010-01-07T18:09:35.040Z,37.4811667,-121.7986667,10.753,4.05,mw,201,36,0.03063,0.17,nc,nc71336726,2020-05-02T02:12:40.761Z,"11 km ENE of Milpitas, California",earthquake,0.14,0.34,,4,reviewed,nc,nc
2010-01-08T19:48:50.050Z,37.4821667,-121.793,9.373,3.73,mw,179,37,0.03243,0.15,nc,nc71337451,2017-03-17T21:25:20.313Z,"11 km N of East Foothills, California",earthquake,0.14,0.33,,3,reviewed,nc,nc
2010-01-10T00:27:39.320Z,40.652,-124.6925,28.737,6.5,mw,51,220,0.3225,0.2,nc,nc71338066,2020-07-07T22:36:48.275Z,"37 km WNW of Ferndale, California",earthquake,0.55,1.31,,8,reviewed,nc,nc
2010-01-10T00:42:38.370Z,40.4203333,-124.8288333,17.72,3.46,ml,61,246,0.3784,0.15,nc,nc71338071,2017-01-21T17:53:58.373Z,"50 km WSW of Ferndale, California",earthquake,0.42,0.5,0.271,35,reviewed,nc,nc
2010-01-10T00:43:15.670Z,40.6203333,-124.752,28.289,3.71,ml,43,223,0.3468,0.12,nc,nc71338076,2017-01-21T17:54:06.160Z,"41 km W of Ferndale, California",earthquake,0.35,1.04,0.328,36,reviewed,nc,nc
