time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2013-01-02T16:36:22.000Z,47.02,-66.497,5,3,mblg,10,157.1,,,us,usp000jxrb,2014-11-07T01:49:44.672Z,"75 km W of Miramichi, Canada",earthquake,,,,,reviewed,ott,ott
2013-01-03T02:44:17.310Z,31.228,-116.1258333,2.475,3.37,ml,7,256,0.5944,0.38,ci,ci15269801,2016-03-12T01:45:07.658Z,"69km SE of Maneadero, B.C., MX",earthquake,6.87,3.84,0.105,89,reviewed,ci,ci
2013-01-03T21:04:25.240Z,36.5636667,-121.0706667,8.177,3.4,mw,93,35,0.02883,0.14,nc,nc71914646,2017-01-30T17:55:46.830Z,"27 km NE of Soledad, California",earthquake,0.15,0.29,,5,reviewed,nc,nc
2013-01-04T01:59:20.000Z,35.38,-96.515,5,3.5,mwr,73,32.8,,,us,usp000jxsv,2020-03-19T21:28:22.232Z,"6 km NW of Cromwell, Oklahoma",earthquake,,,,,reviewed,tul,slm
2013-01-05T00:39:09.400Z,32.3353333,-115.3175,9.976,3.59,ml,23,168,0.08459,0.41,ci,ci15270393,2016-03-11T14:21:11.520Z,"12km W of Delta, B.C., MX",earthquake,1.16,31.61,0.181,149,reviewed,ci,ci
2013-01-07T15:36:43.070Z,36.8383333,-111.8563333,6.41,3.02,ml,17,125,0.5387,0.15,uu,uu60009747,2018-09-12T16:54:30.580Z,"29 km NW of Bitter Springs, Arizona",earthquake,0.6,5.59,0.135,9,reviewed,uu,uu
2013-01-08T00:49:54.310Z,31.3448333,-116.2178333,8.384,3.27,ml,7,316,0.697,0.13,ci,ci15271057,2016-03-11T07:10:14.952Z,"53km SE of Maneadero, B.C., MX",earthquake,1.26,31.61,0.121,114,reviewed,ci,ci
2013-01-08T17:43:18.840Z,37.4228333,-118.3296667,5.86,3.19,md,44,129,0.07928,0.06,nc,nc71917466,2018-06-29T22:31:56.225Z,"8 km ENE of Dixon Lane-Meadow Creek, California",earthquake,0.43,0.88,0.13,54,reviewed,nc,nc
2013-01-09T13:50:47.804Z,37.2731,-114.3627,5.8,3,ml,11,96.54,0.371,0.1655,nn,nn00399130,2018-06-29T22:31:57.717Z,"40 km SSE of Caliente, Nevada",earthquake,,3.4,0.8,6,reviewed,nn,nn
2013-01-09T18:50:08.350Z,39.743,-97.95,5,3.3,mblg,35,62,,1.05,us,usc000ew04,2014-11-07T01:49:48.313Z,"5 km SE of Formoso, Kansas",earthquake,,,,,reviewed,us,us
2013-01-11T10:46:02.640Z,39.7808333,-123.5666667,8.306,3.31,mw,31,124,0.07117,0.11,nc,nc71919701,2017-01-30T19:44:35.370Z,"12 km NW of Laytonville, California",earthquake,0.23,0.4,,3,reviewed,nc,nc
2013-01-13T15:28:12.500Z,25.845,-110.552,16.4,4,md,8,141.9,,,us,usp000jyc8,2014-11-07T01:49:49.602Z,"81 km ESE of Loreto, Mexico",earthquake,,,,,reviewed,unm,unm
2013-01-13T16:28:26.220Z,25.891,-110.103,10,5.7,mww,429,60.1,,1.03,us,usp000jyce,2020-09-21T18:36:56.779Z,"76 km W of Las Grullas Margen Derecha, Mexico",earthquake,,,,,reviewed,us,us
2013-01-13T17:04:47.070Z,26.012,-110.303,10,4.4,mb,108,157.4,,1.48,us,usp000jych,2014-11-07T01:49:49.703Z,"97 km W of El Aguajito, Mexico",earthquake,,,,73,reviewed,us,us
2013-01-13T17:50:13.000Z,25.773,-110.126,10,5.4,mwc,268,123.9,,1.4,us,usp000jycm,2015-03-24T02:25:53.541Z,"79 km W of Las Grullas Margen Derecha, Mexico",earthquake,,,,,reviewed,us,gcmt
2013-01-15T15:14:30.960Z,36.5633333,-121.0746667,7.967,3.52,mw,89,34,0.03243,0.13,nc,nc71922121,2017-03-17T22:37:35.343Z,"27 km NE of Soledad, California",earthquake,0.14,0.31,,5,reviewed,nc,nc
2013-01-15T15:18:14.230Z,36.5631667,-121.0741667,7.147,3.07,ml,88,34,0.03153,0.12,nc,nc71922126,2017-01-30T20:30:45.340Z,"27 km NE of Soledad, California",earthquake,0.12,0.28,0.194,26,reviewed,nc,nc
2013-01-16T00:53:04.880Z,46.061,-75.442,18,3.5,mblg,53,86.3,,,us,usp000jyfc,2014-11-07T01:49:50.674Z,"28 km W of Notre-Dame-du-Mont-Carmel, Canada",earthquake,,,,,reviewed,ott,ott
2013-01-16T01:01:48.950Z,46.063,-75.433,18,3,mblg,18,159.4,,,us,usp000jyfd,2014-11-07T01:49:50.680Z,"27 km W of Notre-Dame-du-Mont-Carmel, Canada",earthquake,,,,,reviewed,ott,ott
2013-01-16T03:56:33.490Z,32.2598333,-115.3335,14.521,3.16,ml,24,180,0.161,0.33,ci,ci15273705,2016-03-11T16:12:35.823Z,"16km WNW of Alberto Oviedo Mota, B.C., MX",earthquake,0.95,2.16,0.219,117,reviewed,ci,ci
2013-01-16T06:26:35.270Z,35.619,-97.337,5,3.2,mblg,42,39.5,,0.81,us,usp000jyfr,2020-03-19T21:29:34.590Z,"5 km S of Arcadia, Oklahoma",earthquake,,,,,reviewed,us,us
2013-01-16T11:25:40.690Z,35.487,-118.2885,4.48,3.59,ml,64,23,0.1306,0.15,ci,ci15273833,2016-03-11T20:09:09.428Z,"22km ESE of Bodfish, CA",earthquake,0.18,1.35,0.162,246,reviewed,ci,ci
2013-01-16T20:51:43.000Z,35.592,-97.356,5,3.2,ml,27,60.3,,,us,usb000eq4u,2017-07-14T19:43:06.992Z,"6 km WNW of Jones, Oklahoma",earthquake,,,,,reviewed,tul,tul
