time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2006-01-02T21:48:57.060Z,37.8415,-88.4171667,7.31,3.6,mlg,25,68,0.09007,0.45,nm,nm605979,2016-04-08T18:40:01.043Z,"3 km NNE of Eldorado, Illinois",earthquake,0.6,3.6,0.011,1,reviewed,nm,nm
2006-01-03T08:21:24.480Z,28.502,-111.801,10,3.7,ml,10,241.6,,1.25,us,usp000e7ga,2014-11-07T01:28:03.060Z,"32 km SW of La Providencia, Mexico",earthquake,,,,,reviewed,us,us
2006-01-03T11:05:10.260Z,49.327,-81.084,15,3.7,mblg,24,39.5,,,us,usp000e7gr,2014-11-07T01:28:03.214Z,"68 km NNW of Iroquois Falls, Canada",earthquake,,,,,reviewed,ott,ott
2006-01-03T18:21:09.334Z,37.4385,-117.0855,5.4,3.1,ml,28,147.41,0.196,0.1347,nn,nn00172198,2018-04-24T20:27:42.002Z,"32 km SSE of Goldfield, Nevada",earthquake,,2.2,0.18,18,reviewed,nn,nn
2006-01-03T21:58:23.780Z,28.327,-112.095,10,4.3,mb,11,245.4,,1.08,us,usp000e7hu,2014-11-07T01:28:03.494Z,"56 km SSW of Bahía de Kino, Mexico",earthquake,,,,1,reviewed,us,us
2006-01-04T01:05:08.770Z,27.959,-112.143,10,5.2,mwc,131,112.8,,0.96,us,usp000e7j4,2016-11-10T01:16:30.014Z,"69 km N of Santa Rosalía, Mexico",earthquake,,,,,reviewed,us,hrv
2006-01-04T01:17:09.780Z,27.621,-112.134,10,4.2,mb,11,260.8,,1.26,us,usp000e7j5,2014-11-07T01:28:03.556Z,"33 km NNE of Santa Rosalía, Mexico",earthquake,,,,1,reviewed,us,us
2006-01-04T03:45:06.260Z,27.953,-112.135,10,4.6,mb,46,196.9,,1.02,us,usp000e7ja,2014-11-07T01:28:03.579Z,"69 km N of Santa Rosalía, Mexico",earthquake,,,,16,reviewed,us,us
2006-01-04T08:30:39.610Z,28.001,-112.255,10,4.5,mb,51,131.1,,0.91,us,usp000e7jn,2014-11-07T01:28:03.627Z,"73 km N of Santa Rosalía, Mexico",earthquake,,,,16,reviewed,us,us
2006-01-04T08:32:32.400Z,28.164,-112.117,14,6.6,mwc,323,48.2,,1.25,us,usp000e7jp,2020-09-18T20:50:47.562Z,"75 km SSW of Bahía de Kino, Mexico",earthquake,,,,,reviewed,us,hrv
2006-01-04T09:05:54.720Z,28.45,-112.467,10,4.1,mb,11,246,,1.05,us,usp000e7jr,2014-11-07T01:28:03.693Z,"65 km SW of Bahía de Kino, Mexico",earthquake,,,,1,reviewed,us,us
2006-01-04T09:17:54.800Z,28.003,-112.468,10,4.9,mb,77,131.1,,1.07,us,usp000e7js,2014-11-07T01:28:03.696Z,"76 km NNW of Santa Rosalía, Mexico",earthquake,,,,20,reviewed,us,us
2006-01-04T09:19:44.370Z,28.417,-112.593,10,4.1,mb,8,228.1,,1.48,us,usp000e7jt,2014-11-07T01:28:03.706Z,"78 km SW of Bahía de Kino, Mexico",earthquake,,,,1,reviewed,us,us
2006-01-04T10:27:25.040Z,28.157,-112.125,10,4.4,mb,21,201.8,,1,us,usp000e7jw,2014-11-07T01:28:03.713Z,"75 km SSW of Bahía de Kino, Mexico",earthquake,,,,3,reviewed,us,us
2006-01-04T23:56:59.230Z,35.3133333,-120.9455,3.909,3.13,ml,53,181,0.07117,0.08,nc,nc21501954,2017-01-14T00:35:42.010Z,"10 km W of Los Osos, California",earthquake,0.27,0.45,,5,reviewed,nc,nc
2006-01-05T03:55:54.540Z,28.102,-112.165,10,3.8,mb,13,227.2,,1.31,us,usp000e7mk,2014-11-07T01:28:03.895Z,"82 km SSW of Bahía de Kino, Mexico",earthquake,,,,1,reviewed,us,us
2006-01-05T14:05:49.760Z,37.0896667,-122.052,10.233,3.14,ml,110,114,0.08649,0.16,nc,nc21501974,2019-06-28T18:48:14.131Z,"0 km WSW of Zayante, California",earthquake,0.21,0.4,,10,reviewed,nc,nc
2006-01-05T14:44:45.520Z,40.9708333,-109.9776667,12.55,3.18,ml,16,184,0.9887,0.16,uu,uu50307335,2018-08-28T21:30:36.360Z,"7 km SSW of McKinnon, Wyoming",earthquake,0.78,1.73,,11,reviewed,uu,uu
2006-01-05T21:26:40.290Z,38.8045,-122.7955,2.897,3.08,ml,62,27,0.003604,0.07,nc,nc21502012,2017-01-14T00:39:17.370Z,"6 km WSW of Cobb, California",earthquake,0.12,0.2,,8,reviewed,nc,nc
2006-01-05T22:39:21.580Z,36.6691667,-121.2908333,5.982,3.33,ml,74,39,0.01441,0.06,nc,nc21502016,2017-01-14T00:39:53.580Z,"13 km SSE of Tres Pinos, California",earthquake,0.12,0.29,,12,reviewed,nc,nc
2006-01-06T05:58:19.810Z,36.6668333,-121.2885,6.212,3.19,ml,67,40,0.01261,0.07,nc,nc21502044,2017-01-14T00:41:56.110Z,"13 km SSE of Tres Pinos, California",earthquake,0.12,0.36,,12,reviewed,nc,nc
2006-01-07T00:21:22.550Z,32.4168333,-115.4155,6.01,3.34,ml,19,245,0.3503,0.32,ci,ci14207516,2016-03-09T03:31:41.018Z,"17km SSW of Puebla, B.C., MX",earthquake,1.94,31.61,0.175,109,reviewed,ci,ci
2006-01-07T00:49:18.000Z,32.4356667,-115.4031667,6.01,3.38,ml,19,242,0.3463,0.29,ci,ci14207520,2016-03-08T23:16:59.679Z,"15km SSW of Puebla, B.C., MX",earthquake,2.63,31.61,0.225,131,reviewed,ci,ci
2006-01-07T07:55:20.640Z,28.371,-112.043,10,4,ml,10,237.7,,1.29,us,usp000e7s6,2014-11-07T01:28:04.573Z,"51 km SSW of Bahía de Kino, Mexico",earthquake,,,,,reviewed,us,us
2006-01-08T12:23:05.580Z,28.234,-111.988,10,4,mb,13,246,,1.3,us,usp000e7uc,2014-11-07T01:28:04.938Z,"65 km S of Bahía de Kino, Mexico",earthquake,,,,1,reviewed,us,us
2006-01-09T07:45:42.000Z,44.62,-112.36,10.5,3.1,ml,17,65.8,,,us,usp000e7wv,2014-11-07T01:28:05.201Z,"18 km E of Lima, Montana",earthquake,,,,,reviewed,but,but
2006-01-09T15:13:13.870Z,32.1516667,-115.8853333,5.837,3.11,ml,15,246,0.4952,0.34,ci,ci14207936,2016-03-09T02:06:56.442Z,"55km SSW of Progreso, B.C., MX",earthquake,1.49,31.18,0.122,61,reviewed,ci,ci
2006-01-09T15:35:40.590Z,45.0255,-73.8815,12.69,3.72,md,13,78,,0.24,ld,ld2006010900,2021-05-13T21:56:52.723Z,"2 km ESE of Franklin, Canada",earthquake,0.45,1.17,,,reviewed,ld,ld
2006-01-09T21:06:47.650Z,36.7626667,-121.463,6.703,3.17,ml,75,34,0.01261,0.11,nc,nc21502389,2017-01-14T01:03:15.480Z,"10 km WSW of Ridgemark, California",earthquake,0.15,0.3,,12,reviewed,nc,nc
2006-01-13T23:30:03.570Z,37.4681667,-118.7838333,9.688,3.16,md,44,68,0.05315,0.05,nc,nc21502851,2017-01-14T01:28:05.340Z,"11 km SSW of Aspen Springs, California",earthquake,0.25,0.57,0.11,61,reviewed,nc,nc
2006-01-15T10:42:06.990Z,37.3846667,-121.5118333,2.313,3.6,mw,114,58,0.04054,0.16,nc,nc21502994,2017-03-17T18:53:34.636Z,"20 km W of Diablo Grande, California",earthquake,0.14,0.77,,3,reviewed,nc,nc
2006-01-15T12:29:46.000Z,48.57,-123.53,44,3.3,md,76,52.2,,,us,usp000e898,2016-07-22T22:04:13.510Z,"13 km SW of North Saanich, Canada",earthquake,,,,,reviewed,pgc,sea
2006-01-15T21:32:25.640Z,28.873,-112.836,10,3.7,ml,7,235.4,,1.22,us,usp000e89s,2014-11-07T01:28:06.564Z,"87 km W of Bahía de Kino, Mexico",earthquake,,,,,reviewed,us,us
2006-01-18T09:47:45.000Z,45.36,-112.51,8.7,4,mwr,52,29.8,,,us,usp000e8e3,2015-03-24T00:46:30.306Z,"18 km NNE of Dillon, Montana",earthquake,,,,,reviewed,but,slm
2006-01-19T15:10:03.390Z,46.2,-122.1976667,-1.757,3.1,md,14,86,0.008988,0.42,uw,uw10689278,2016-07-22T22:04:24.850Z,"37 km NNE of Amboy, Washington",earthquake,0.078,0.07,0.06,6,reviewed,uw,uw
2006-01-19T16:25:33.938Z,39.9758,-115.9034,16.3,3.5,ml,3,175.61,0.921,0.0488,nn,nn00173739,2018-04-24T20:28:09.035Z,"51 km N of Eureka, Nevada",earthquake,,12.4,,,reviewed,nn,nn
2006-01-22T10:28:07.150Z,35.6576667,-119.194,24.17,3.02,ml,29,106,0.2033,0.36,ci,ci14209888,2016-03-09T12:03:22.018Z,"4km SE of McFarland, CA",earthquake,0.69,2.61,0.143,153,reviewed,ci,ci
2006-01-22T18:43:37.470Z,46.2023333,-122.1893333,-1.643,3.2,md,9,98,0.007223,0.16,uw,uw10689863,2016-07-22T22:04:31.210Z,"38 km NNE of Amboy, Washington",earthquake,,,0.05,5,reviewed,uw,uw
2006-01-23T07:58:52.605Z,38.6327,-118.5986,4.9,3.9,ml,11,174.4,0.389,0.1087,nn,nn00174004,2018-04-24T20:28:15.073Z,"12 km N of Hawthorne, Nevada",earthquake,,5.3,,,reviewed,nn,nn
