time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2007-01-02T01:48:16.290Z,35.9383333,-120.4896667,9.793,3.09,ml,66,28,0.01892,0.09,nc,nc51177358,2017-01-16T02:25:54.840Z,"6 km NW of Parkfield, California",earthquake,0.16,0.24,0.21,11,reviewed,nc,nc
2007-01-03T14:34:38.540Z,37.067,-104.895,5,4.4,mwr,34,42.9,,0.93,us,usp000f1mr,2015-03-24T00:48:58.501Z,"8 km SSW of Weston, Colorado",earthquake,,,,,reviewed,us,slm
2007-01-04T08:30:11.360Z,45.1188333,-120.9323333,16.142,3,md,29,51,0.142,0.21,uw,uw10710703,2017-04-01T22:11:04.726Z,"",earthquake,,,0.05,9,reviewed,uw,uw
2007-01-04T18:50:23.250Z,32.117,-115.3545,5.962,3.06,ml,14,254,0.617,0.27,ci,ci10225201,2016-03-09T14:11:55.999Z,"21km SW of Alberto Oviedo Mota, B.C., MX",earthquake,3.19,31.61,0.275,87,reviewed,ci,ci
2007-01-04T23:51:49.610Z,38.8335,-122.7965,2.822,3.16,ml,61,20,0.02613,0.09,nc,nc40192337,2017-01-16T02:34:38.820Z,"6 km W of Cobb, California",earthquake,0.11,0.43,0.262,13,reviewed,nc,nc
2007-01-06T01:11:27.550Z,36.5893333,-121.1905,6.155,3,ml,64,35,0.01441,0.05,nc,nc40192375,2017-01-16T02:39:07.780Z,"21 km NNE of Soledad, California",earthquake,0.11,0.28,0.234,8,reviewed,nc,nc
2007-01-06T04:08:44.970Z,47.025,-76.234,18,3.3,mblg,32,96.4,,,us,usp000f1sx,2014-11-07T01:31:19.006Z,"61 km NNW of Saint-Boniface, Canada",earthquake,,,,,reviewed,ott,ott
2007-01-06T22:33:16.040Z,27.778,-111.193,10,3.7,mb,16,207,,1.51,us,usp000f1ud,2014-11-07T01:31:19.404Z,"24 km SW of San Carlos, Mexico",earthquake,,,,1,reviewed,us,us
2007-01-07T00:27:12.160Z,39.934,-116.678,5,3,ml,18,83.2,,1.11,us,usp000f1um,2014-11-07T01:31:19.423Z,"54 km S of Crescent Valley, Nevada",earthquake,,,,,reviewed,us,us
2007-01-07T09:20:38.770Z,38.3883333,-122.6155,9.004,3.14,ml,101,27,0.03694,0.15,nc,nc40192405,2017-01-16T02:42:52.910Z,"6 km WSW of Kenwood, California",earthquake,0.14,0.27,0.351,12,reviewed,nc,nc
2007-01-07T15:00:47.440Z,32.6573333,-115.6266667,14.958,3.15,ml,28,169,0.08449,0.27,ci,ci10225529,2016-03-09T01:00:00.467Z,"10km NNW of Progreso, B.C., MX",earthquake,0.63,0.53,0.171,96,reviewed,ci,ci
2007-01-07T20:14:29.120Z,31.624,-115.5523333,5.925,3.88,ml,17,277,1.033,0.4,ci,ci10225557,2016-03-08T23:35:12.145Z,"76km SSW of Alberto Oviedo Mota, B.C., MX",earthquake,1.75,31.61,0.179,305,reviewed,ci,ci
2007-01-09T10:10:40.120Z,43.666,-108.106,5,3.5,ml,42,92,,1.09,us,usp000f21b,2014-11-07T01:31:20.227Z,"7 km ENE of East Thermopolis, Wyoming",earthquake,,,,,reviewed,us,us
2007-01-09T14:01:55.630Z,32.6816667,-116.0483333,8.726,3.12,ml,40,137,0.04948,0.35,ci,ci10225781,2016-03-09T01:00:07.086Z,"8km SW of Ocotillo, CA",earthquake,0.53,1.32,0.213,136,reviewed,ci,ci
2007-01-09T22:33:42.850Z,36.9211667,-121.425,8.651,3.1,md,84,29,0.07207,0.09,nc,nc51177558,2017-01-16T02:51:32.790Z,"7 km NNW of Hollister, California",earthquake,0.15,0.32,0.125,87,reviewed,nc,nc
2007-01-10T04:53:55.300Z,46.1973333,-122.1888333,-0.916,3.1,md,25,46,,0.16,uw,uw10711773,2016-07-22T22:40:39.710Z,"37 km NNE of Amboy, Washington",earthquake,0.334,0.24,0.04,8,reviewed,uw,uw
2007-01-12T02:55:56.610Z,31.7726667,-115.5793333,4.995,3.04,ml,13,287,0.883,0.38,ci,ci10226109,2016-03-08T17:08:55.124Z,"64km SW of Alberto Oviedo Mota, B.C., MX",earthquake,7.36,14.52,0.281,38,reviewed,ci,ci
2007-01-12T11:27:50.290Z,38.3901667,-122.6156667,9.694,3.7,mw,114,27,0.03694,0.14,nc,nc51177644,2017-03-17T20:29:45.740Z,"6 km WSW of Kenwood, California",earthquake,0.14,0.24,,4,reviewed,nc,nc
2007-01-12T22:47:00.120Z,40.3575,-124.2175,30.777,3.07,ml,15,47,0.09459,0.09,nc,nc51177653,2017-01-16T03:01:45.090Z,"17 km SW of Scotia, California",earthquake,0.72,1.37,0.347,2,reviewed,nc,nc
2007-01-14T05:17:36.690Z,36.878,-104.93,5,3.2,ml,11,116.5,,1.17,us,usp000f2h4,2014-11-07T01:31:22.366Z,"29 km SSW of Weston, Colorado",earthquake,,,,,reviewed,us,us
2007-01-14T07:21:13.810Z,46.198,-122.1885,-1.036,3,md,24,46,,0.15,uw,uw10716948,2016-07-22T22:40:50.390Z,"37 km NNE of Amboy, Washington",earthquake,0.34,0.3,0.04,8,reviewed,uw,uw
2007-01-15T07:00:03.150Z,33.706,-116.0463333,13.516,3.09,ml,66,33,0.06909,0.22,ci,ci10226533,2016-03-09T14:12:24.057Z,"11km NE of Thermal, CA",earthquake,0.25,0.44,0.137,222,reviewed,ci,ci
2007-01-15T18:22:16.650Z,38.774,-122.7003333,2.448,3.1,ml,60,22,0.01351,0.1,nc,nc51177725,2017-01-16T03:12:34.550Z,"5 km SSE of Cobb, California",earthquake,0.13,0.37,0.367,10,reviewed,nc,nc
2007-01-17T14:01:08.040Z,37.4071667,-118.5311667,5.23,3.6,mw,43,61,0.09189,0.08,nc,nc51177779,2017-03-17T20:30:37.032Z,"1 km SE of Mesa, California",earthquake,0.21,0.88,,5,reviewed,nc,nc
2007-01-17T16:07:47.800Z,32.9816667,-116.3163333,3.359,3.81,ml,61,85,0.08495,0.27,ci,ci10226877,2016-03-08T20:36:52.445Z,"25km SW of Ocotillo Wells, CA",earthquake,0.24,0.75,0.129,280,reviewed,ci,ci
2007-01-17T16:37:29.210Z,35.0773333,-118.3065,1.742,3,ml,56,28,0.09119,0.21,ci,ci10226909,2016-03-09T08:08:46.220Z,"12km WNW of Mojave, CA",earthquake,0.27,0.58,0.161,219,reviewed,ci,ci
2007-01-17T17:43:22.240Z,37.1195,-121.523,7.251,3.4,mw,126,38,0.006306,0.06,nc,nc51177794,2017-01-16T03:22:18.040Z,"8 km ENE of San Martin, California",earthquake,0.09,0.26,,3,reviewed,nc,nc
2007-01-18T06:21:06.420Z,30.493,-114.086,10,4.8,mwc,54,149.6,,1.2,us,usp000f2x4,2016-11-10T01:33:52.743Z,"93 km SE of San Felipe, Mexico",earthquake,,,,,reviewed,us,gcmt
2007-01-18T20:04:20.300Z,32.9836667,-116.307,4.139,3.12,ml,49,75,0.08185,0.28,ci,ci10227209,2016-03-09T10:55:10.266Z,"24km SW of Ocotillo Wells, CA",earthquake,0.29,0.7,0.174,186,reviewed,ci,ci
2007-01-19T19:17:08.630Z,32.9853333,-116.3131667,3.419,3.25,ml,57,74,0.0862,0.37,ci,ci10227393,2016-03-09T05:15:23.755Z,"24km SW of Ocotillo Wells, CA",earthquake,0.28,0.85,0.161,207,reviewed,ci,ci
2007-01-20T08:12:40.870Z,45.1281667,-120.9486667,20.152,3,md,44,50,0.1483,0.27,uw,uw10718868,2017-04-01T22:26:05.331Z,"11 km ESE of Maupin, Oregon",earthquake,0.411,0.51,0.06,8,reviewed,uw,uw
2007-01-24T07:28:15.120Z,32.5045,-115.235,10,3.02,ml,19,195,0.3701,0.55,ci,ci10228133,2016-03-09T10:55:27.235Z,"13km ESE of Puebla, B.C., MX",earthquake,2.07,31.61,0.121,58,reviewed,ci,ci
