time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-01-01T01:35:34.240Z,34.0316667,-117.593,4.08,3.09,ml,173,15,0.07663,0.22,ci,ci37844303,2018-07-16T04:01:59.764Z,"4km SE of Ontario, CA",earthquake,0.09,0.34,0.175,330,reviewed,ci,ci
2018-01-01T04:18:57.330Z,31.8491667,-116.1185,12.31,3.09,ml,15,126,0.2124,0.19,ci,ci37844527,2018-03-23T23:16:47.040Z,"45km ENE of Maneadero, B.C., MX",earthquake,0.4,1.02,0.222,168,reviewed,ci,ci
2018-01-02T13:42:52.000Z,31.2227,-103.5728,5,3.1,ml,,50,0.147,0.42,us,us1000bz0l,2018-03-23T23:16:48.040Z,"16 km SSW of Lindsay, Texas",earthquake,0.9,1.9,0.07,64,reviewed,us,us
2018-01-02T17:43:49.200Z,36.1523,-97.6696,4.492,3.5,ml,,21,,0.22,us,us1000bz2k,2018-03-23T23:16:48.040Z,"Oklahoma",earthquake,1.1,5.1,,,reviewed,tul,tul
2018-01-03T04:00:29.800Z,36.1603,-98.377,5.667,3.4,ml,,26,,0.84,us,us1000bz81,2018-03-23T23:16:49.040Z,"7 km NW of Okeene, Oklahoma",earthquake,1.3,6.5,,,reviewed,tul,tul
2018-01-03T08:36:25.940Z,46.2556667,-122.0563333,10.23,3.87,ml,50,124,0.05684,0.14,uw,uw61362346,2018-03-23T23:16:49.040Z,"37 km SSE of Morton, Washington",earthquake,0.24,0.42,0.156,25,reviewed,uw,uw
2018-01-04T10:39:37.730Z,37.8551667,-122.2568333,12.31,4.38,mw,289,13,0.004662,0.18,nc,nc72948801,2019-10-15T05:55:58.351Z,"2km SE of Berkeley, CA",earthquake,0.11,0.2,,7,reviewed,nc,nc
2018-01-04T15:42:27.560Z,46.9007,-70.7725,18,3.4,mb_lg,,,,0.79,us,us1000c0wi,2018-03-23T23:16:50.040Z,"18 km SSE of Beaupré, Canada",earthquake,5,7.7,,,reviewed,ott,ott
2018-01-06T14:19:27.220Z,42.2206,-104.8104,5,3,ml,,104,1.038,1.3,us,us1000c1f3,2018-03-23T23:16:52.040Z,"7 km SW of Guernsey, Wyoming",earthquake,3.2,2,0.064,62,reviewed,us,us
2018-01-06T15:37:17.770Z,28.8497,-98.119,5,3.6,mb_lg,,82,0.272,1.07,us,us1000c1fk,2020-03-20T02:06:56.877Z,"17 km SW of Falls City, Texas",earthquake,4.1,2,0.068,56,reviewed,us,us
