time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-01-01T15:47:16.460Z,35.6646667,-118.469,9.438,3.02,ml,51,46,0.004508,0.14,ci,ci11408690,2016-03-11T14:52:40.650Z,"5km SSW of Wofford Heights, CA",earthquake,0.21,0.41,0.126,187,reviewed,ci,ci
2014-01-02T06:23:09.700Z,40.29,-124.4526667,20.031,4.02,mw,24,249,0.1324,0.09,nc,nc72134626,2020-05-02T03:17:33.461Z,"35 km SSW of Ferndale, California",earthquake,0.65,0.28,,5,reviewed,nc,nc
2014-01-02T09:32:27.530Z,38.7866667,-122.7408333,1.333,3.25,mw,90,26,0.004505,0.05,nc,nc72134726,2017-02-02T19:23:57.350Z,"4 km SSW of Cobb, California",earthquake,0.09,0.14,,4,reviewed,nc,nc
2014-01-02T12:04:50.680Z,39.057,-118.1082,6.4,3.9,ml,13,154.85,0.01,0.0984,nn,nn00432876,2018-06-29T22:59:46.455Z,"26 km NW of Gabbs, Nevada",earthquake,,1.1,0.25,6,reviewed,nn,nn
2014-01-02T13:19:32.000Z,36.1226,-97.3227,5,3.1,ml,,,,0.56,us,usc000lvld,2015-01-30T09:10:50.287Z,"5 km ESE of Orlando, Oklahoma",earthquake,,2,,,reviewed,tul,tul
2014-01-02T17:20:26.850Z,36.127,-96.895,4.4,3.2,ml,,,,0,us,usc000lvrp,2020-03-19T22:24:23.431Z,"11 km SSE of Glencoe, Oklahoma",earthquake,,0,,,reviewed,tul,tul
2014-01-03T01:41:37.103Z,37.3741,-117.1294,6.5,3.2,ml,27,64.95,0.398,0.2261,nn,nn00432953,2018-06-29T22:59:51.694Z,"38 km SSE of Goldfield, Nevada",earthquake,,3.2,0.73,15,reviewed,nn,nn
2014-01-03T19:47:59.920Z,33.982,-118.4525,11.147,3.01,ml,88,49,0.02313,0.29,ci,ci11409738,2021-06-24T02:14:49.772Z,"0km NNW of Marina del Rey, CA",earthquake,0.28,0.39,0.23,220,reviewed,ci,ci
2014-01-04T05:27:24.900Z,35.557,-97.234,5.1,3,ml,,,,0.84,us,usc000lwqc,2015-01-30T02:05:01.464Z,"4 km ESE of Jones, Oklahoma",earthquake,,2.1,,,reviewed,tul,tul
2014-01-04T20:35:30.100Z,36.8398,-98.3576,2.988,3.5,mb_lg,,,,0.71,us,usc000lwxy,2015-01-30T01:21:33.179Z,"8 km SE of Burlington, Oklahoma",earthquake,,7,0.068,63,reviewed,tul,us
2014-01-04T21:26:17.000Z,35.819,-96.94,5,3.2,mb_lg,,,,0.56,us,usc000lwzb,2015-01-30T18:40:22.310Z,"6 km SSE of Tryon, Oklahoma",earthquake,,1.8,0.082,40,reviewed,tul,us
2014-01-04T23:33:32.000Z,36.129,-97.322,5,3.7,mb_lg,,,,0.63,us,usc000lx1g,2020-03-19T22:24:57.499Z,"5 km ESE of Orlando, Oklahoma",earthquake,,2,0.059,83,reviewed,tul,us
2014-01-06T02:05:42.700Z,47.456,-112.762,27.1,3,Md,45,100,0.37729242,0.2,mb,mb29928,2021-05-13T21:59:14.679Z,"28 km W of Augusta, Montana",earthquake,0.7,0.7,0.5,3,manual,mb,mb
2014-01-06T08:41:15.800Z,35.3126,-103.0704,5,3.3,mb,,26,1.217,1.43,us,usc000lxim,2015-01-30T13:42:44.624Z,"31 km E of Logan, New Mexico",earthquake,,2,0.487,1,reviewed,us,us
2014-01-06T09:14:12.150Z,44.7576667,-110.7793333,9.5,3.45,ml,29,90,0.05924,0.17,uu,uu60051017,2020-07-22T21:04:53.810Z,"25 km SSW of Mammoth, Wyoming",earthquake,0.33,0.57,0.256,6,reviewed,uu,uu
2014-01-09T03:26:53.060Z,35.5421,-96.773,3.21,3.8,ml,,,,0.92,us,usc000lz7a,2020-03-19T22:25:30.902Z,"8 km SSE of Sparks, Oklahoma",earthquake,,2,,,reviewed,tul,tul
2014-01-09T23:07:37.170Z,35.8184,-96.9338,2.66,3,ml,,,,1.61,us,usc000lzpy,2015-01-30T04:35:11.668Z,"6 km SSE of Tryon, Oklahoma",earthquake,,6.5,,,reviewed,tul,tul
2014-01-10T11:59:51.440Z,31.2015,-115.8948333,10.554,3.42,ml,4,204,0.3994,0.15,ci,ci11412514,2016-03-12T02:17:10.914Z,"86km SE of Maneadero, B.C., MX",earthquake,1.62,2.53,0.115,55,reviewed,ci,ci
2014-01-10T16:08:33.300Z,36.5727,-113.8703,5,3.3,mwr,,26,0.667,0.8,us,usc000m06d,2018-06-29T23:00:09.896Z,"27 km SSE of Scenic, Arizona",earthquake,,2,,,reviewed,us,nn
2014-01-11T13:37:02.470Z,31.1976667,-115.9146667,13.094,3.41,ml,4,206,0.4137,0.19,ci,ci11412938,2016-03-11T20:41:23.916Z,"85km SE of Maneadero, B.C., MX",earthquake,2,31.61,0.103,46,reviewed,ci,ci
2014-01-12T01:46:59.170Z,44.8061667,-110.5228333,8.74,3.37,ml,34,95,,0.16,uu,uu60051622,2018-09-12T18:26:26.850Z,"23 km SE of Mammoth, Wyoming",earthquake,0.36,0.67,0.17,6,reviewed,uu,uu
